,idioma,HS_BP,CJS_BP,H_Shannon,F_Fisher,Mean_WPT,Var_WPT,Eff_Info
0,ar,0.9076054871413263,0.33615382307050984,0.45675984284872073,63252261.94766775,11.534853061924482,1.6365615025609623,-870066406.6745994
1,arz,0.914810913560203,0.3384915185771497,0.246345981008057,892278598.0469071,11.622176164142264,1.6546359399223929,-10161697835.450113
2,az,0.9007798137192347,0.3346017765322491,0.225327132817992,80390206.77535371,8.526986628703991,0.8159912174453047,-394278856.9747379
3,be,0.9060218703119447,0.3358045639333891,0.1945671454535688,45463977.47571867,10.939749580834855,1.5233992692764013,-660159843.9798385
4,bg,0.9173108812381326,0.3393735247310755,0.19295712844318813,25468147.10908216,11.063849651097126,1.4631135888519067,-383173467.9549387
5,ca,0.9017436124279622,0.33420312156279897,0.9152328936309285,1008254694.5548576,5.964960062582019,1.7357753583393705,-287695513.798887
6,ckb,0.9041705742548547,0.33561131653956605,0.3230060515770605,35249651.80403844,11.656065313335644,1.6891279556497298,-284343952.83876395
7,cs,0.9111502532986584,0.3370383616588001,0.23132827619324325,23236965.12929097,7.03455969669139,1.2974669001804962,-85011307.40345111
8,de,0.9051017955109831,0.3368966970597393,0.17901042459440242,120823.11437578136,6.077437016906486,1.8151180647147,-1412966.6509001662
9,en,0.9163871118462237,0.33893625833681085,0.674542676015461,2350711750.774263,5.877038729968567,1.8657692546588356,-14441516.397627944
10,eo,0.9156755054755,0.33887537163120973,0.5311216141425804,351932826.53070015,6.085684386082855,1.7396712557305838,-94773943.82572663
11,es,0.9158338731711262,0.3387011141454277,0.8212632246511471,1062227503.0189872,5.995566507195886,1.8059762039982958,-43279574.7987141
12,fa,0.9173242523726668,0.33908967788913136,0.3199899966111408,81594054.80658786,11.584630455442325,1.5983972534345676,-556825627.2199683
13,fi,0.8906554787729525,0.3315253700031873,0.309623627023657,157485847.16185752,6.00902709430957,1.9030446239835828,-51067772.710156545
14,fr,0.9175578007705805,0.33842605622933436,0.4215735104058338,91527338.32334204,6.188691327077621,1.6750714665761692,-8333895.047758465
15,gl,0.912770352729808,0.33749569930342327,1.411398130545296,1862336291.500569,6.041068644418724,1.7639633482225299,-78377985.48205923
16,he,0.921667949745581,0.34011484123778596,0.28773672161212027,1145679648.0422044,11.616978851372266,1.550351829986069,-12400182460.429228
17,hi,0.9073028918476294,0.33701876839891637,0.3888257324594067,113051391.57695016,12.450598832058056,1.6317620710483025,-1211255314.1636572
18,hr,0.9105815951165712,0.3370996249799561,0.596615946707872,256771965.2057116,6.32430959885616,1.625173842692536,-82762687.04704092
19,id,0.9097121675742551,0.3370082224696329,0.8205680025532002,3052536155.058221,5.680153924751071,2.0376288098123636,-77362909.67062563
20,it,0.9097338887411024,0.3365357931084592,0.4689583902765464,567533244.1239977,5.8322451162447315,1.8976096183381232,-25208717.53462698
21,nl,0.9113819905145257,0.3377434365502574,1.1788959798166772,1285293361.5059474,5.692675375764909,1.9825699581979854,-42711313.36373815
22,pl,0.908134684608946,0.33667191721049605,0.1845294726128247,2671384.2178633465,7.025187796069151,1.277863351749127,-30819878.290913314
23,ps,0.9294244358162835,0.3427604546796654,0.471963748839471,80025803.76410106,11.825904636716228,1.5081906102415408,-311255505.18885005
24,pt,0.9169521039048878,0.33877613027108444,1.1209281119670969,1293522335.05467,6.061719838816408,1.7623765161063367,-47104427.5518184
25,ro,0.9040972067431186,0.33504077950759203,0.31074871211419236,77536449.66674098,6.737824419912382,1.3912670064862065,-41116165.264076136
26,ru,0.9092228348351189,0.3370666522859669,0.18896726487192175,31129577.187735982,10.962756751566085,1.5632491150038605,-451103318.7449568
27,ta,0.8748728204140722,0.32782239760158083,0.3394232343006319,58380175.49170443,12.629114703314821,1.8744373138166766,-678354474.248949
28,tr,0.8975018504061443,0.3328311691588924,0.6195383541870342,401917437.83658606,6.828305971086435,1.3941932012516998,-120315721.13919154
