languages,dim,tau,signal_type,wavelet_level,space,centroid_accuracy,silhouette_score,R_intra_inter
"en, fr, es, ar, hi, ta",3,1,original,N/A,Bandt-Pompe (CH),0.20666666666666667,-0.06116582625292646,8.143231141584977
"en, fr, es, ar, hi, ta",3,1,original,N/A,Fisher-Shannon (FS),0.19,-0.04271723518899601,12.577932794505605
"en, fr, es, ar, hi, ta",3,1,wavelet,1,Bandt-Pompe (CH),0.19333333333333333,-0.05136042349425749,9.107247437834943
"en, fr, es, ar, hi, ta",3,1,wavelet,1,Fisher-Shannon (FS),0.22,-0.0558945024854666,7.586293442504571
"en, fr, es, ar, hi, ta",3,1,wavelet,2,Bandt-Pompe (CH),0.195,-0.04544428742907274,12.649268825493838
"en, fr, es, ar, hi, ta",3,1,wavelet,2,Fisher-Shannon (FS),0.19166666666666668,-0.03998368293728414,13.432767716869838
"en, fr, es, ar, hi, ta",3,1,wavelet,3,Bandt-Pompe (CH),0.20833333333333334,-0.057351328527987015,8.104531209755129
"en, fr, es, ar, hi, ta",3,1,wavelet,3,Fisher-Shannon (FS),0.205,-0.05487167123989419,10.449602183761202
"en, fr, es, ar, hi, ta",3,1,wavelet,4,Bandt-Pompe (CH),0.19166666666666668,-0.06109983803807952,8.807879678835024
"en, fr, es, ar, hi, ta",3,1,wavelet,4,Fisher-Shannon (FS),0.205,-0.044700900200006416,11.303328885935038
"en, fr, es, ar, hi, ta",3,1,wavelet,5,Bandt-Pompe (CH),0.17333333333333334,-0.054135649510261445,9.42575197458973
"en, fr, es, ar, hi, ta",3,1,wavelet,5,Fisher-Shannon (FS),0.18833333333333332,-0.0464143843353751,13.26013683093959
"en, fr, es, ar, hi, ta",4,1,original,N/A,Bandt-Pompe (CH),0.195,-0.0505653513450108,12.796373145779889
"en, fr, es, ar, hi, ta",4,1,original,N/A,Fisher-Shannon (FS),0.205,-0.05868501973716813,9.653689421686812
"en, fr, es, ar, hi, ta",4,1,wavelet,1,Bandt-Pompe (CH),0.18833333333333332,-0.048025178959959974,11.696985403674978
"en, fr, es, ar, hi, ta",4,1,wavelet,1,Fisher-Shannon (FS),0.2,-0.045481015358040444,11.276576767873498
"en, fr, es, ar, hi, ta",4,1,wavelet,2,Bandt-Pompe (CH),0.205,-0.06622845040472224,7.729764335959592
"en, fr, es, ar, hi, ta",4,1,wavelet,2,Fisher-Shannon (FS),0.175,-0.04421724857138278,13.513665550464154
"en, fr, es, ar, hi, ta",4,1,wavelet,3,Bandt-Pompe (CH),0.20166666666666666,-0.057874857383205434,8.469496618621921
"en, fr, es, ar, hi, ta",4,1,wavelet,3,Fisher-Shannon (FS),0.21333333333333335,-0.05743647033348345,8.346490249111122
"en, fr, es, ar, hi, ta",4,1,wavelet,4,Bandt-Pompe (CH),0.21333333333333335,-0.06449482288980248,8.363056582811009
"en, fr, es, ar, hi, ta",4,1,wavelet,4,Fisher-Shannon (FS),0.19833333333333333,-0.04909178869681786,9.402188851047416
"en, fr, es, ar, hi, ta",4,1,wavelet,5,Bandt-Pompe (CH),0.19,-0.04733366993677422,13.275051052581997
"en, fr, es, ar, hi, ta",4,1,wavelet,5,Fisher-Shannon (FS),0.19,-0.04538216682923501,11.439324967643163
"en, fr, es, ar, hi, ta",5,1,original,N/A,Bandt-Pompe (CH),0.2,-0.055765968980169806,11.74324378397409
"en, fr, es, ar, hi, ta",5,1,original,N/A,Fisher-Shannon (FS),0.19833333333333333,-0.05166771661580201,10.186389031767701
"en, fr, es, ar, hi, ta",5,1,wavelet,1,Bandt-Pompe (CH),0.19166666666666668,-0.058437870686361915,9.148735792614165
"en, fr, es, ar, hi, ta",5,1,wavelet,1,Fisher-Shannon (FS),0.17833333333333334,-0.0533173439887028,10.73116275025614
"en, fr, es, ar, hi, ta",5,1,wavelet,2,Bandt-Pompe (CH),0.19333333333333333,-0.05215276727474201,11.383008936573752
"en, fr, es, ar, hi, ta",5,1,wavelet,2,Fisher-Shannon (FS),0.19,-0.04406776444592395,9.55080023988143
"en, fr, es, ar, hi, ta",5,1,wavelet,3,Bandt-Pompe (CH),0.17833333333333334,-0.05608812199641716,9.390634875947978
"en, fr, es, ar, hi, ta",5,1,wavelet,3,Fisher-Shannon (FS),0.21166666666666667,-0.04639605995725068,11.46350127281539
"en, fr, es, ar, hi, ta",5,1,wavelet,4,Bandt-Pompe (CH),0.21,-0.05776896549072629,12.648967325302763
"en, fr, es, ar, hi, ta",5,1,wavelet,4,Fisher-Shannon (FS),0.16666666666666666,-0.03722271600303989,21.172593281559067
"en, fr, es, ar, hi, ta",5,1,wavelet,5,Bandt-Pompe (CH),0.19833333333333333,-0.06745471303359055,8.584313469567748
"en, fr, es, ar, hi, ta",5,1,wavelet,5,Fisher-Shannon (FS),0.18666666666666668,-0.053236103396142105,8.440856173856217
"en, fr, es, ar, hi, ta",6,1,original,N/A,Bandt-Pompe (CH),0.18833333333333332,-0.056349344716613556,9.37442954797195
"en, fr, es, ar, hi, ta",6,1,original,N/A,Fisher-Shannon (FS),0.19833333333333333,-0.042051180967269154,13.028480099399621
"en, fr, es, ar, hi, ta",6,1,wavelet,1,Bandt-Pompe (CH),0.20833333333333334,-0.067637267545091,8.32125457190335
"en, fr, es, ar, hi, ta",6,1,wavelet,1,Fisher-Shannon (FS),0.195,-0.03911577886674954,14.926408936670821
"en, fr, es, ar, hi, ta",6,1,wavelet,2,Bandt-Pompe (CH),0.185,-0.04397960684287998,15.070455316366397
"en, fr, es, ar, hi, ta",6,1,wavelet,2,Fisher-Shannon (FS),0.20666666666666667,-0.0481094337083309,10.310637620635674
"en, fr, es, ar, hi, ta",6,1,wavelet,3,Bandt-Pompe (CH),0.2,-0.05649171319714036,10.342312842585557
"en, fr, es, ar, hi, ta",6,1,wavelet,3,Fisher-Shannon (FS),0.22666666666666666,-0.06310492455550837,6.541630136080829
"en, fr, es, ar, hi, ta",6,1,wavelet,4,Bandt-Pompe (CH),0.18833333333333332,-0.05581180528905626,10.613739703398366
"en, fr, es, ar, hi, ta",6,1,wavelet,4,Fisher-Shannon (FS),0.17166666666666666,-0.04521286972681272,11.26051557689303
"en, fr, es, ar, hi, ta",6,1,wavelet,5,Bandt-Pompe (CH),0.20333333333333334,-0.07550736821741517,7.527044820320236
"en, fr, es, ar, hi, ta",6,1,wavelet,5,Fisher-Shannon (FS),0.18333333333333332,-0.051255999292097794,12.766157571158962
